iter	Passed	Remaining
773	13299	3883
774	13317	3866
775	13332	3848
776	13349	3831
777	13366	3814
778	13381	3796
779	13397	3778
780	13414	3761
781	13429	3743
782	13444	3726
783	13461	3708
784	13476	3691
785	13492	3673
786	13509	3656
787	13525	3638
788	13541	3621
789	13556	3603
790	13572	3586
791	13587	3568
792	13602	3550
793	13619	3533
794	13635	3516
795	13652	3498
796	13668	3481
797	13684	3463
798	13701	3446
799	13720	3430
800	13737	3412
801	13753	3395
802	13770	3378
803	13789	3361
804	13807	3344
805	13826	3328
806	13849	3312
807	13867	3295
808	13885	3278
809	13901	3260
810	13918	3243
811	13935	3226
812	13951	3209
813	13967	3191
814	13985	3174
815	14003	3157
816	14021	3140
817	14038	3123
818	14055	3106
819	14071	3088
820	14086	3071
821	14102	3053
822	14118	3036
823	14136	3019
824	14153	3002
825	14170	2985
826	14186	2967
827	14205	2950
828	14223	2933
829	14240	2916
830	14256	2899
831	14271	2881
832	14288	2864
833	14306	2847
834	14323	2830
835	14338	2812
836	14354	2795
837	14370	2778
838	14385	2760
839	14400	2742
840	14415	2725
841	14432	2708
842	14448	2690
843	14462	2673
844	14478	2655
845	14492	2638
846	14508	2620
847	14523	2603
848	14540	2586
849	14556	2568
850	14572	2551
851	14587	2534
852	14603	2516
853	14619	2499
854	14636	2482
855	14653	2465
856	14669	2447
857	14684	2430
858	14700	2413
859	14715	2395
860	14730	2378
861	14747	2360
862	14764	2343
863	14779	2326
864	14795	2309
865	14810	2291
866	14826	2274
867	14842	2257
868	14858	2239
869	14874	2222
870	14891	2205
871	14907	2188
872	14923	2171
873	14940	2153
874	14957	2136
875	14973	2119
876	14989	2102
877	15005	2085
878	15021	2067
879	15037	2050
880	15054	2033
881	15071	2016
882	15087	1999
883	15104	1982
884	15121	1964
885	15138	1947
886	15157	1930
887	15177	1914
888	15197	1897
889	15214	1880
890	15233	1863
891	15249	1846
892	15267	1829
893	15283	1812
894	15299	1794
895	15314	1777
896	15330	1760
897	15348	1743
898	15365	1726
899	15381	1709
900	15397	1691
901	15412	1674
902	15428	1657
903	15444	1640
904	15461	1623
905	15478	1605
906	15495	1588
907	15510	1571
908	15526	1554
909	15543	1537
910	15558	1519
911	15574	1502
912	15590	1485
913	15607	1468
914	15623	1451
915	15640	1434
916	15655	1417
917	15673	1400
918	15689	1382
919	15704	1365
920	15719	1348
921	15736	1331
922	15754	1314
923	15771	1297
924	15786	1280
925	15802	1262
926	15819	1245
927	15834	1228
928	15851	1211
929	15868	1194
930	15885	1177
931	15902	1160
932	15917	1143
933	15933	1125
934	15949	1108
935	15966	1091
936	15982	1074
937	15999	1057
938	16017	1040
939	16037	1023
940	16055	1006
941	16075	989
942	16094	972
943	16114	955
944	16138	939
945	16156	922
946	16175	905
947	16197	888
948	16217	871
949	16234	854
950	16253	837
951	16269	820
952	16286	803
953	16303	786
954	16321	769
955	16337	751
956	16357	734
957	16377	718
958	16396	701
959	16413	683
960	16431	666
961	16449	649
962	16468	632
963	16487	615
964	16505	598
965	16523	581
966	16539	564
967	16558	547
968	16576	530
969	16593	513
970	16609	496
971	16626	478
972	16643	461
973	16660	444
974	16676	427
975	16694	410
976	16710	393
977	16726	376
978	16743	359
979	16760	342
980	16777	324
981	16795	307
982	16812	290
983	16828	273
984	16844	256
985	16860	239
986	16875	222
987	16892	205
988	16906	188
989	16922	170
990	16938	153
991	16954	136
992	16970	119
993	16985	102
994	17000	85
995	17018	68
996	17035	51
997	17049	34
998	17066	17
999	17081	0
